fdc_id,description,mapped_ingredient
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough","""biscuit"""
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough","""cinnamon rolls"""
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry","""bread crumbs"""
167515,"George Weston Bakeries, Thomas English Muffins","""english muffin"""
167516,"Waffles, buttermilk, frozen, ready-to-heat","""waffles"""
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted","""waffle"""
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved","""waffle"""
167519,"Waffle, plain, frozen, ready-to-heat, microwave","""waffle"""
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust","""graham cracker"""
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust","""chocolate"""
167522,"Pie, Dutch Apple, Commercially Prepared","""apple"""
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour","""pie crust"""
167524,"Waffles, chocolate chip, frozen, ready-to-heat","""chocolate chip"""
167525,"Tostada shells, corn","""corn tortillas"""
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)","""salvadoran sweet cheese"""
167527,"Bread, pound cake type, pan de torta salvadoran","""bread crumbs"""
167528,"Pastry, Pastelitos de Guava (guava pastries)","""guava"""
167529,"Crackers, snack, Goya Crackers","""cracker crumbs"""
167530,"Crackers, cream, Gamesa Sabrosas","""cream cracker"""
167531,"Crackers, cream, La Moderna Rikis Cream Crackers","""cream cracker"""
167532,"Bread, white wheat","""wheat flour"""
167533,"Bagels, wheat","""wheat"""
167534,"Cream puff, eclair, custard or cream filled, iced","""cream"""
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable","""tortilla"""
167536,"Snacks, beef jerky, chopped and formed","""beef jerky"""
167537,"Snacks, corn-based, extruded, chips, plain","""corn chips"""
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor","""corn chips"""
167539,"Snacks, corn-based, extruded, cones, plain","""corn"""
167540,"Snacks, fruit leather, pieces","""fruit leather"""
167541,"Snacks, fruit leather, rolls","""fruit leather"""
167542,"Snacks, granola bars, hard, plain","""granola"""
167543,"Snacks, granola bars, hard, almond","""almond"""
167544,"Snacks, granola bars, soft, uncoated, raisin","""raisin"""
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip","""chocolate chip"""
167546,"Candies, honey-combed, with peanut butter","""peanut butter"""
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter","""peanut butter chocolate"""
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip","""peanut chocolate chip"""
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat","""popcorn"""
167550,"Snacks, popcorn, cakes","""popcorn cake"""
167551,"Snacks, popcorn, caramel-coated, with peanuts","""popcorn peanut"""
167552,"Snacks, popcorn, caramel-coated, without peanuts","""popcorn"""
167553,"Snacks, potato chips, made from dried potatoes, reduced fat","""potato"""
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor","""potato"""
167555,"Snacks, pretzels, hard, plain, salted","""pretzel"""
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","""pretzel"""
167557,"Snacks, rice cakes, brown rice, sesame seed","""brown rice"""
167558,"Snacks, tortilla chips, plain, white corn, salted","""white corn tortilla chip"""
167559,"Snacks, tortilla chips, nacho cheese","""tortilla chips cheese"""
167560,"Snacks, tortilla chips, ranch-flavor","""tortilla chips"""
167561,"Snacks, trail mix, regular","""trail mix"""
167562,"Candies, ALMOND JOY Candy Bar","""almond"""
167563,"Candies, TWIZZLERS CHERRY BITES","""cherry"""
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews","""honey"""
167565,"Candies, NESTLE, BUTTERFINGER Bar","""butterfinger"""
167566,"Candies, caramels, chocolate-flavor roll","""caramel"""
167567,"Baking chocolate, unsweetened, liquid","""baking chocolate"""
167568,"Baking chocolate, unsweetened, squares","""baking chocolate"""
167569,"Candies, confectioner's coating, yogurt","""yogurt"""
167570,"Candies, confectioner's coating, peanut butter","""peanut"""
167571,"Candies, white chocolate","""white chocolate"""
